"from","to","Val"
"Pyrolysis","Pyrolysis",0
"Pyrolysis","Landfill",0
"Pyrolysis","Incineration",0
"Pyrolysis","HDPE",0
"Pyrolysis","LDPE",0
"Pyrolysis","PP",0
"Pyrolysis","PLA",0
"Pyrolysis","Paper",0
"Pyrolysis","Households",0
"Pyrolysis","Curbside Collection",0
"Pyrolysis","Dropoff",0
"Pyrolysis","Segregation",0
"Pyrolysis","rHDPE",0
"Pyrolysis","rLDPE",0
"Pyrolysis","rPP",0
"Pyrolysis","rPLA",0
"Pyrolysis","rPaper",0
"Pyrolysis","Compost",0
"Pyrolysis","Clinker",0
"Pyrolysis","Lumber",0
"Pyrolysis","Losses",0
"Landfill","Pyrolysis",0
"Landfill","Landfill",0
"Landfill","Incineration",0
"Landfill","HDPE",0
"Landfill","LDPE",0
"Landfill","PP",0
"Landfill","PLA",0
"Landfill","Paper",0
"Landfill","Households",0
"Landfill","Curbside Collection",0
"Landfill","Dropoff",0
"Landfill","Segregation",0
"Landfill","rHDPE",0
"Landfill","rLDPE",0
"Landfill","rPP",0
"Landfill","rPLA",0
"Landfill","rPaper",0
"Landfill","Compost",0
"Landfill","Clinker",0
"Landfill","Lumber",0
"Landfill","Losses",0
"Incineration","Pyrolysis",0
"Incineration","Landfill",0
"Incineration","Incineration",0
"Incineration","HDPE",0
"Incineration","LDPE",0
"Incineration","PP",0
"Incineration","PLA",0
"Incineration","Paper",0
"Incineration","Households",0
"Incineration","Curbside Collection",0
"Incineration","Dropoff",0
"Incineration","Segregation",0
"Incineration","rHDPE",0
"Incineration","rLDPE",0
"Incineration","rPP",0
"Incineration","rPLA",0
"Incineration","rPaper",0
"Incineration","Compost",0
"Incineration","Clinker",0
"Incineration","Lumber",0
"Incineration","Losses",0
"HDPE","Pyrolysis",0
"HDPE","Landfill",0
"HDPE","Incineration",0
"HDPE","HDPE",0
"HDPE","LDPE",0
"HDPE","PP",0
"HDPE","PLA",0
"HDPE","Paper",0
"HDPE","Households",2.5615
"HDPE","Curbside Collection",0
"HDPE","Dropoff",0
"HDPE","Segregation",0
"HDPE","rHDPE",0
"HDPE","rLDPE",0
"HDPE","rPP",0
"HDPE","rPLA",0
"HDPE","rPaper",0
"HDPE","Compost",0
"HDPE","Clinker",0
"HDPE","Lumber",0
"HDPE","Losses",0
"LDPE","Pyrolysis",0
"LDPE","Landfill",0
"LDPE","Incineration",0
"LDPE","HDPE",0
"LDPE","LDPE",0
"LDPE","PP",0
"LDPE","PLA",0
"LDPE","Paper",0
"LDPE","Households",0
"LDPE","Curbside Collection",0
"LDPE","Dropoff",0
"LDPE","Segregation",0
"LDPE","rHDPE",0
"LDPE","rLDPE",0
"LDPE","rPP",0
"LDPE","rPLA",0
"LDPE","rPaper",0
"LDPE","Compost",0
"LDPE","Clinker",0
"LDPE","Lumber",0
"LDPE","Losses",0
"PP","Pyrolysis",0
"PP","Landfill",0
"PP","Incineration",0
"PP","HDPE",0
"PP","LDPE",0
"PP","PP",0
"PP","PLA",0
"PP","Paper",0
"PP","Households",0
"PP","Curbside Collection",0
"PP","Dropoff",0
"PP","Segregation",0
"PP","rHDPE",0
"PP","rLDPE",0
"PP","rPP",0
"PP","rPLA",0
"PP","rPaper",0
"PP","Compost",0
"PP","Clinker",0
"PP","Lumber",0
"PP","Losses",0
"PLA","Pyrolysis",0
"PLA","Landfill",0
"PLA","Incineration",0
"PLA","HDPE",0
"PLA","LDPE",0
"PLA","PP",0
"PLA","PLA",0
"PLA","Paper",0
"PLA","Households",0
"PLA","Curbside Collection",0
"PLA","Dropoff",0
"PLA","Segregation",0
"PLA","rHDPE",0
"PLA","rLDPE",0
"PLA","rPP",0
"PLA","rPLA",0
"PLA","rPaper",0
"PLA","Compost",0
"PLA","Clinker",0
"PLA","Lumber",0
"PLA","Losses",0
"Paper","Pyrolysis",0
"Paper","Landfill",0
"Paper","Incineration",0
"Paper","HDPE",0
"Paper","LDPE",0
"Paper","PP",0
"Paper","PLA",0
"Paper","Paper",0
"Paper","Households",0.3032
"Paper","Curbside Collection",0
"Paper","Dropoff",0
"Paper","Segregation",0
"Paper","rHDPE",0
"Paper","rLDPE",0
"Paper","rPP",0
"Paper","rPLA",0
"Paper","rPaper",0
"Paper","Compost",0
"Paper","Clinker",0
"Paper","Lumber",0
"Paper","Losses",0
"Households","Pyrolysis",0
"Households","Landfill",0
"Households","Incineration",0
"Households","HDPE",0
"Households","LDPE",0
"Households","PP",0
"Households","PLA",0
"Households","Paper",0
"Households","Households",0
"Households","Curbside Collection",2.5246
"Households","Dropoff",0
"Households","Segregation",0
"Households","rHDPE",0
"Households","rLDPE",0
"Households","rPP",0
"Households","rPLA",0
"Households","rPaper",0
"Households","Compost",0
"Households","Clinker",0
"Households","Lumber",0
"Households","Losses",0.3401
"Curbside Collection","Pyrolysis",0
"Curbside Collection","Landfill",0
"Curbside Collection","Incineration",0
"Curbside Collection","HDPE",0
"Curbside Collection","LDPE",0
"Curbside Collection","PP",0
"Curbside Collection","PLA",0
"Curbside Collection","Paper",0
